"order_id";"order_date";"ip_address";"total_amount";"customer_id";"first_name";"last_name";"email";"country";"city";"state";"order_item_name";"order_item_type";"product_qty"
"1036";"2025-05-08 22:36:36";"118.99.118.196";"62700,00000000";"62";"Vaclav";"Wedge";"vwedge1s@typepad.com";"ID";"Malang";"JI";"Atasan Basic Wanita";"line_item";"1"
"1036";"2025-05-08 22:36:36";"118.99.118.196";"62700,00000000";"62";"Vaclav";"Wedge";"vwedge1s@typepad.com";"ID";"Malang";"JI";"Free shipping";"shipping";"1"
"1037";"2025-05-08 22:53:26";"118.99.118.196";"329000,00000000";"63";"Ysabel";"Grimster";"ygrimster1h@timesonline.co.uk";"ID";"Samarinda";"KI";"This Is April Atasan Kemeja Lengan Panjang";"line_item";"1"
"1037";"2025-05-08 22:53:26";"118.99.118.196";"329000,00000000";"63";"Ysabel";"Grimster";"ygrimster1h@timesonline.co.uk";"ID";"Samarinda";"KI";"Free shipping";"shipping";"1"
"1038";"2025-05-08 22:56:25";"118.99.118.196";"550000,00000000";"64";"Olive";"O'Logan";"oologanc@imgur.com";"ID";"Kota Pontianak";"KB";"AMOENE [MADE] Long Strap Dress Navy";"line_item";"1"
"1038";"2025-05-08 22:56:25";"118.99.118.196";"550000,00000000";"64";"Olive";"O'Logan";"oologanc@imgur.com";"ID";"Kota Pontianak";"KB";"Free shipping";"shipping";"1"
"1039";"2025-05-08 22:59:51";"118.99.118.196";"159000,00000000";"65";"Joanie";"Mannie";"jmanniee@google.com.au";"ID";"Kota Pontianak";"KB";"Point One NINDY Khaki Tunik Dress";"line_item";"1"
"1039";"2025-05-08 22:59:51";"118.99.118.196";"159000,00000000";"65";"Joanie";"Mannie";"jmanniee@google.com.au";"ID";"Kota Pontianak";"KB";"Free shipping";"shipping";"1"
"1040";"2025-05-08 23:02:06";"118.99.118.196";"160000,00000000";"66";"Klarrisa";"Calender";"kcalenderf@shinystat.com";"ID";"Kota Pontianak";"KB";"Hosofshopaholic - Darel Skirt";"line_item";"1"
"1040";"2025-05-08 23:02:06";"118.99.118.196";"160000,00000000";"66";"Klarrisa";"Calender";"kcalenderf@shinystat.com";"ID";"Kota Pontianak";"KB";"Free shipping";"shipping";"1"
"1041";"2025-05-08 23:10:21";"118.99.118.196";"44900,00000000";"67";"Corrina";"Clubb";"cclubbh@marketwatch.com";"ID";"Kota Pontianak";"KB";"ORO PANTS";"line_item";"1"
"1041";"2025-05-08 23:10:21";"118.99.118.196";"44900,00000000";"67";"Corrina";"Clubb";"cclubbh@marketwatch.com";"ID";"Kota Pontianak";"KB";"Free shipping";"shipping";"1"
"1042";"2025-05-08 23:12:14";"118.99.118.196";"160000,00000000";"68";"Rodge";"Winram";"rwinrami@cnn.com";"ID";"Kota Pontianak";"KB";"Hosofshopaholic - Darel Skirt";"line_item";"1"
"1042";"2025-05-08 23:12:14";"118.99.118.196";"160000,00000000";"68";"Rodge";"Winram";"rwinrami@cnn.com";"ID";"Kota Pontianak";"KB";"Free shipping";"shipping";"1"
"1043";"2025-05-08 23:19:30";"118.99.118.196";"379000,00000000";"69";"Ronny";"Plews";"rplewsj@paypal.com";"ID";"Kota Pontianak";"KB";"This Is April Rok Midi Crochet Wanita";"line_item";"1"
"1043";"2025-05-08 23:19:30";"118.99.118.196";"379000,00000000";"69";"Ronny";"Plews";"rplewsj@paypal.com";"ID";"Kota Pontianak";"KB";"Free shipping";"shipping";"1"
"1044";"2025-05-08 23:23:15";"118.99.118.196";"379000,00000000";"70";"Isis";"Griss";"igrissk@addtoany.com";"ID";"Kota Pontianak";"KB";"This Is April Rok Midi Crochet Wanita";"line_item";"1"
"1044";"2025-05-08 23:23:15";"118.99.118.196";"379000,00000000";"70";"Isis";"Griss";"igrissk@addtoany.com";"ID";"Kota Pontianak";"KB";"Free shipping";"shipping";"1"
"1045";"2025-05-08 23:25:58";"118.99.118.196";"52000,00000000";"71";"Rita";"Crownshaw";"rcrownshawl@cnet.com";"ID";"Kota Pontianak";"KB";"Baju Atasan Lengan Pendek Wanita";"line_item";"1"
"1045";"2025-05-08 23:25:58";"118.99.118.196";"52000,00000000";"71";"Rita";"Crownshaw";"rcrownshawl@cnet.com";"ID";"Kota Pontianak";"KB";"Free shipping";"shipping";"1"
"1046";"2025-05-08 23:28:35";"118.99.118.196";"44900,00000000";"72";"Maisie";"Gobolos";"mgobolosm@who.int";"ID";"Kota Pontianak";"KB";"ORO PANTS";"line_item";"1"
"1046";"2025-05-08 23:28:35";"118.99.118.196";"44900,00000000";"72";"Maisie";"Gobolos";"mgobolosm@who.int";"ID";"Kota Pontianak";"KB";"Free shipping";"shipping";"1"
"1047";"2025-05-08 23:30:49";"118.99.118.196";"329000,00000000";"73";"Norah";"Armfield";"narmfieldn@cyberchimps.com";"ID";"Kota Pontianak";"JB";"This Is April Atasan Kemeja Lengan Panjang";"line_item";"1"
"1047";"2025-05-08 23:30:49";"118.99.118.196";"329000,00000000";"73";"Norah";"Armfield";"narmfieldn@cyberchimps.com";"ID";"Kota Pontianak";"JB";"Free shipping";"shipping";"1"
"1049";"2025-05-09 14:08:55";"114.10.137.72";"550000,00000000";"23";"Swen";"Wittman";"swittman24@aol.com";"ID";"Surabaya";"JI";"AMOENE [MADE] Long Strap Dress Navy";"line_item";"1"
"1049";"2025-05-09 14:08:55";"114.10.137.72";"550000,00000000";"23";"Swen";"Wittman";"swittman24@aol.com";"ID";"Surabaya";"JI";"Free shipping";"shipping";"1"
"1050";"2025-05-09 14:14:17";"114.10.137.72";"44900,00000000";"28";"Jessy";"De Bell";"jdebellu@nationalgeographic.com";"ID";"Pontianak";"KB";"ORO PANTS";"line_item";"1"
"1050";"2025-05-09 14:14:17";"114.10.137.72";"44900,00000000";"28";"Jessy";"De Bell";"jdebellu@nationalgeographic.com";"ID";"Pontianak";"KB";"Free shipping";"shipping";"1"
"1051";"2025-05-09 14:17:37";"114.10.137.72";"62700,00000000";"31";"Nady";"Veel";"nveelx@123-reg.co.uk";"ID";"Jakarta Barat";"JK";"Atasan Basic Wanita";"line_item";"1"
