"id";"order_id";"meta_key";"meta_value"
"79";"1036";"is_vat_exempt";"no"
"80";"1036";"_billing_address_index";"Marlene mgreallyo@quantcast.com  Kota Pontianak, Jl. Sepakat I  Pontianak KB 78124 ID mgreallyo@quantcast.com "
"81";"1036";"_shipping_address_index";"Marlene mgreallyo@quantcast.com  Kota Pontianak, Jl. Sepakat I  Pontianak KB 78124 ID "
"82";"1036";"_wc_order_attribution_source_type";"typein"
"83";"1036";"_wc_order_attribution_utm_source";"(direct)"
"84";"1036";"_wc_order_attribution_session_entry";"https://datamininguntan.my.id/"
"85";"1036";"_wc_order_attribution_session_start_time";"2025-05-08 22:32:14"
"86";"1036";"_wc_order_attribution_session_pages";"9"
"87";"1036";"_wc_order_attribution_session_count";"1"
"88";"1036";"_wc_order_attribution_user_agent";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36"
"89";"1036";"_wc_order_attribution_device_type";"Desktop"
"90";"1037";"is_vat_exempt";"no"
"91";"1037";"_billing_address_index";"Eberto Nern  Kota Kubu Raya  Pontianak KB 79121 ID enernp@weibo.com "
"92";"1037";"_shipping_address_index";"Eberto Nern  Kota Kubu Raya  Pontianak KB 79121 ID "
"93";"1037";"_wc_order_attribution_source_type";"typein"
"94";"1037";"_wc_order_attribution_utm_source";"(direct)"
"95";"1037";"_wc_order_attribution_session_entry";"https://datamininguntan.my.id/"
"96";"1037";"_wc_order_attribution_session_start_time";"2025-05-08 22:32:14"
"97";"1037";"_wc_order_attribution_session_pages";"20"
"98";"1037";"_wc_order_attribution_session_count";"1"
"99";"1037";"_wc_order_attribution_user_agent";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36"
"100";"1037";"_wc_order_attribution_device_type";"Desktop"
"101";"1038";"is_vat_exempt";"no"
"102";"1038";"_billing_address_index";"Roma Langfat  Singkawang  Kota Singkawang KB 78124 ID rlangfatq@istockphoto.com "
"103";"1038";"_shipping_address_index";"Roma Langfat  Singkawang  Kota Singkawang KB 78124 ID "
"104";"1038";"_wc_order_attribution_source_type";"typein"
"105";"1038";"_wc_order_attribution_utm_source";"(direct)"
"106";"1038";"_wc_order_attribution_session_entry";"https://datamininguntan.my.id/"
"107";"1038";"_wc_order_attribution_session_start_time";"2025-05-08 22:32:14"
